Program,Program_Name,Degree,Cert_Type,School,Department,Bill_Program_Flag,Interdisciplinary_Flag,Graduation_Flag,Office_Name,Program_Status,Program_Status_Date,Data_Refresh_Date
CCCOMA,COMPUTER SCIENCE AND MATHEMATICS,AB    ,MAJOR       ,CC  ,COMS,Y,N,Y,Computer Science,A,12/17/2004 0:00,2/7/2023 5:08
CCCOMS,COMPUTER SCIENCE,AB    ,MAJOR       ,CC  ,COMS,Y,N,Y,Computer Science,A,10/1/1991 0:00,2/7/2023 5:08
CCCOST,COMPUTER SCIENCE AND STATISTICS,AB    ,MAJOR       ,CC  ,COMS,Y,N,Y,Computer Science,A,9/11/2013 0:00,2/7/2023 5:08
CCDTSC,DATA SCIENCE                                                     ,AB    ,MAJOR       ,CC  ,COMS,Y,N,Y,Computer Science,A,9/14/2016 0:00,2/7/2023 5:08
CCINFS,INFORMATION SCIENCES,AB    ,MAJOR       ,CC  ,COMS,Y,N,Y,Computer Science,A,6/10/2008 0:00,2/7/2023 5:08
CMCOMS,COMPUTER SCIENCE,AB    ,PREMED CONCN,CC  ,COMS,Y,N,Y,Computer Science,A,2/28/1997 0:00,2/7/2023 5:08
CNCOMS,COMPUTER SCIENCE,AB    ,CONCENTRATN ,CC  ,COMS,Y,N,Y,Computer Science,A,10/1/1991 0:00,2/7/2023 5:08
CS/MBA,DUAL MS/MBA: COMPUTER SCIENCE AND BUSINESS,MS    ,DEGREE      ,EP  ,COMS,Y,N,Y,Computer Science,I,5/6/2000 0:00,2/7/2023 5:08
EACSIS,Information Systems,CPF   ,NON-DEGREE  ,EP  ,COMS,Y,N,N,Computer Science,A,5/13/1999 0:00,2/7/2023 5:08
EACSIT,Intelligent Systems,CPF   ,NON-DEGREE  ,EP  ,COMS,Y,N,N,Computer Science,A,6/28/1999 0:00,2/7/2023 5:08
EACSNS,Networking and Systems,CPF   ,NON-DEGREE  ,EP  ,COMS,Y,N,N,Computer Science,A,5/13/1999 0:00,2/7/2023 5:08
EDCOMS,COMPUTER SCIENCE,DES   ,MAJOR       ,EP  ,COMS,Y,N,Y,Computer Science,A,9/25/1991 0:00,2/7/2023 5:08
EKCBIO,COMPUTATIONAL BIOLOGY,NDG   ,TRACK       ,EP  ,COMS,N,N,Y,Computer Science,A,4/3/2013 0:00,2/7/2023 5:08
EKCSEC,COMPUTER SECURITY,NDG   ,TRACK       ,EP  ,COMS,N,N,Y,Computer Science,A,4/3/2013 0:00,2/7/2023 5:08
EKFDCS,FOUNDATIONS OF COMPUTER SCIENCE,NDG   ,TRACK       ,EP  ,COMS,N,N,Y,Computer Science,A,4/3/2013 0:00,2/7/2023 5:08
EKMLRN,MACHINE LEARNING,NDG   ,TRACK       ,EP  ,COMS,N,N,Y,Computer Science,A,4/3/2013 0:00,2/7/2023 5:08
EKNLPR,NATURAL LANGUAGE PROCESSING,NDG   ,TRACK       ,EP  ,COMS,N,N,Y,Computer Science,A,4/3/2013 0:00,2/7/2023 5:08
EKNSYS,NETWORK SYSTEMS,NDG   ,TRACK       ,EP  ,COMS,N,N,Y,Computer Science,A,4/3/2013 0:00,2/7/2023 5:08
EKPERS,PERSONALIZED,NDG   ,TRACK       ,EP  ,COMS,N,N,Y,Computer Science,A,4/3/2013 0:00,2/7/2023 5:08
EKSSYS,SOFTWARE SYSTEMS,NDG   ,TRACK       ,EP  ,COMS,N,N,Y,Computer Science,A,4/3/2013 0:00,2/7/2023 5:08
EKTHES,THESIS,NDG   ,TRACK       ,EP  ,COMS,N,N,Y,Computer Science,A,4/3/2013 0:00,2/7/2023 5:08
EKVSGR,VISION & GRAPHICS,NDG   ,TRACK       ,EP  ,COMS,N,N,Y,Computer Science,A,4/3/2013 0:00,2/7/2023 5:08
EMCOMS,COMPUTER SCIENCE,MS    ,MAJOR       ,EP  ,COMS,Y,N,Y,Computer Science,A,9/25/1991 0:00,2/7/2023 5:08
EMCSAP,COMPUTER SCIENCE ALIGN PROGRAM,NDG   ,NON-DEGREE  ,EP  ,COMS,Y,N,Y,Computer Science,A,3/12/2020 0:00,2/7/2023 5:08
EMCSJN,DUAL MS -- COMPUTER SCIENCE & JOURNALISM,MS    ,MAJOR       ,EP  ,COMS,Y,N,Y,Computer Science,A,6/29/2010 0:00,2/7/2023 5:08
EMIDSE,DATA SCIENCE                                                     ,MS    ,MAJOR       ,EP  ,COMS,Y,N,Y,Computer Science,A,8/12/2014 0:00,2/7/2023 5:08
EMIDSO,DATA SCIENCE ONLINE                                              ,MS    ,MAJOR       ,EP  ,COMS,Y,N,Y,Computer Science,A,8/11/2020 0:00,2/7/2023 5:08
ENCMEN,COMPUTER ENGINEERING,BS    ,MAJOR       ,EN  ,COMS,Y,Y,Y,Computer Science,A,8/1/1995 0:00,2/7/2023 5:08
ENCOMS,COMPUTER SCIENCE,BS    ,MAJOR       ,EN  ,COMS,Y,N,Y,Computer Science,A,9/25/1991 0:00,2/7/2023 5:08
EPCSE ,COMPUTER SYSTEMS ENGINEERING,CSE   ,DEGREE      ,EP  ,COMS,Y,N,Y,Computer Science,I,9/25/1991 0:00,2/7/2023 5:08
ESCOMS,COMPUTER SCIENCE,NDG   ,NON-DEGREE  ,EP  ,COMS,Y,N,N,Computer Science,A,9/25/1991 0:00,2/7/2023 5:08
ETCOMS,MS/PHD TRACK -- COMPUTER SCIENCE,MS    ,MAJOR       ,EP  ,COMS,Y,N,Y,Computer Science,A,10/7/2004 0:00,2/7/2023 5:08
EUCSE ,COMPUTER SYSTEMS ENGINEERING,CSE   ,DEGREE      ,EP  ,COMS,Y,N,Y,Computer Science,I,8/14/2002 0:00,2/7/2023 5:08
EVCOMS,COMPUTER SCIENCE,MS    ,MAJOR       ,EP  ,COMS,Y,N,Y,Computer Science,A,8/14/2002 0:00,2/7/2023 5:08
EWCOMS,MS/PHD TRACK -- COMPUTER SCIENCE,MS    ,MAJOR       ,EP  ,COMS,Y,N,Y,Computer Science,A,9/23/2005 0:00,2/7/2023 5:08
EYCOMS,COMPUTER SCIENCE,DES   ,MAJOR       ,EP  ,COMS,Y,N,Y,Computer Science,A,8/15/2002 0:00,2/7/2023 5:08
GCCOMS,COMPUTER SCIENCE,BS    ,CONCENTRATN ,GS  ,COMS,N,N,Y,Computer Science,I,3/26/2003 0:00,2/7/2023 5:08
GCCSCA,COMPUTER SCIENCE,BA    ,CONCENTRATN ,GS  ,COMS,N,N,Y,Computer Science,A,3/17/2014 0:00,2/7/2023 5:08
GDCOMS,COMPUTER SCIENCE,PHD   ,MAJOR       ,GF  ,COMS,Y,N,Y,Computer Science,A,9/25/1991 0:00,2/7/2023 5:08
GICOMS,COMPUTER SCIENCE,BS    ,MINOR       ,GS  ,COMS,N,N,Y,Computer Science,I,3/21/2008 0:00,2/7/2023 5:08
GLCOMS,COMPUTER SCIENCE,PHM   ,MAJOR       ,GF  ,COMS,N,N,Y,Computer Science,A,9/25/1991 0:00,2/7/2023 5:08
GSCOMA,COMPUTER SCIENCE AND MATHEMATICS,BA    ,MAJOR       ,GS  ,COMS,Y,N,Y,Computer Science,A,2/2/2007 0:00,2/7/2023 5:08
GSCOMS,COMPUTER SCIENCE,BS    ,MAJOR       ,GS  ,COMS,Y,N,Y,Computer Science,I,10/7/1991 0:00,2/7/2023 5:08
GSCOST,COMPUTER SCIENCE AND STATISTICS,BA    ,MAJOR       ,GS  ,COMS,Y,N,Y,Computer Science,A,9/11/2013 0:00,2/7/2023 5:08
GSCSCA,COMPUTER SCIENCE,BA    ,MAJOR       ,GS  ,COMS,Y,N,Y,Computer Science,A,3/17/2014 0:00,2/7/2023 5:08
GSDTSC,DATA SCIENCE                                                     ,BA    ,MAJOR       ,GS  ,COMS,Y,N,Y,Computer Science,A,9/14/2016 0:00,2/7/2023 5:08
GSINFA,INFORMATION SCIENCES,BA    ,MAJOR       ,GS  ,COMS,Y,N,Y,Computer Science,A,3/17/2014 0:00,2/7/2023 5:08
GSINFS,INFORMATION SCIENCES,BS    ,MAJOR       ,GS  ,COMS,Y,N,Y,Computer Science,I,1/23/2009 0:00,2/7/2023 5:08
VMCOMS,COMPUTER SCIENCE,MS    ,MAJOR       ,EP  ,COMS,Y,N,Y,Computer Science,I,9/1/1996 0:00,2/7/2023 5:08
